id,vonj
114637,rose
114637,truffle
114637,earth
114637,coffee
114637,leather
114637,asparagus
114637,green
114637,pepper
114637,red
114637,fruit
119522,apple
119522,pear
119522,kiwi
119522,citrus
119522,stone
119522,grapefruit
119522,melon
119522,apricot
119522,quince
119522,honey
119522,pineapple
119522,cream
119522,orange
119522,floral
119522,peach
119522,honey
117310,vanilla
117310,toast
117310,smoke
117310,tobacco
117310,dark
117310,fruit
117310,red
117310,fruit
117310,spice
117310,box
117310,cedar
117310,thyme
117310,clove
117310,cinnamon
117310,black
117310,pepper
117310,mint
107639,barnyard
107639,cherry
107639,plum
107639,game
107639,tomato
115215,currant
115215,blackberry
115215,cherry
115215,cedar
115215,cigar
115215,box
115215,tobacco
115215,broccoli
115215,berry
115215,flower
120327,orange
120327,blossom
120327,acacia
120327,violet
120327,anise
120327,mint
117284,violet
117284,rose
117284,truffle
117284,earth
117284,coffee
117284,leather
117284,tobacco
117284,broccoli
117284,berry
117284,flower
119325,violet
119325,rose
119325,truffle
119325,earth
119325,coffee
119325,leather
119558,apple
119558,pear
119558,kiwi
119558,citrus
119558,stone
119558,grapefruit
119558,melon
117421,truffle
117421,cherry
117421,plum
117421,leather
117421,vanilla
119517,currant
119517,blackberry
119517,cherry
119517,cedar
119517,cigar
119517,box
119318,N/A
118239,currant
118239,blackberry
118239,cherry
118239,cedar
118239,cigar
118239,box
116358,ripe
116358,cherry
116358,peppercorn
116358,cinnamon
116358,plum
116358,red
116358,fruit
116358,cocoa
116358,honey
116358,vanilla
116358,butterscotch
116358,dark
116358,fruit
116358,spice
116358,earth
116358,perfume
116358,floral
116358,violet
116358,Strawberry
116358,Dark
116358,Cherry
116358,Leather
116358,Smoke
118708,currant
118708,blackberry
118708,cherry
118708,cedar
118708,cigar
118708,box
119988,asparagus
119988,green
119988,pepper
119988,red
119988,fruit
117784,asparagus
117784,green
117784,pepper
117784,red
117784,fruit
117784,currant
117784,blackberry
117784,cherry
117784,cedar
117784,cigar
117784,box
94334,apple
94334,pear
94334,peach
94334,apricot
94334,lemon
94334,lime
94334,orange
94334,pineapple
94334,kiwi
94334,butter
94334,cream
94334,vanilla
94334,barnyard
94334,cherry
94334,plum
94334,game
94334,tomato
94334,flower
120282,currant
120282,blackberry
120282,cherry
120282,cedar
120282,cigar
120282,box
108542,violet
108542,rose
108542,truffle
108542,earth
108542,coffee
108542,leather
108542,currant
108542,blackberry
108542,cherry
108542,cedar
108542,cigar
108542,box
108542,tobacco
108542,broccoli
108542,berry
108542,flower
108176,apple
108176,pear
108176,peach
108176,apricot
108176,lemon
108176,lime
108176,orange
108176,pineapple
108176,kiwi
108176,butter
108176,cream
108176,vanilla
108176,barnyard
108176,cherry
108176,plum
108176,game
108176,tomato
108176,flower
116073,spice
116073,box
116073,cedar
116073,dark
116073,fruit
116073,currant
116073,blackberry
116073,cherry
116073,cigar
116073,box
116073,violet
116073,rose
116073,truffle
116073,earth
116073,coffee
116073,leather
79040,cocoa
79040,honey
79040,vanilla
79040,butterscotch
79040,dark
79040,fruit
118346,barnyard
118346,cherry
118346,plum
118346,game
118346,tomato
118346,apple
118346,pear
118346,peach
118346,apricot
118346,lemon
118346,lime
118346,orange
118346,pineapple
118346,kiwi
118346,butter
118346,cream
118346,vanilla
118835,barnyard
118835,cherry
118835,plum
118835,game
118835,tomato
116186,violet
116186,rose
116186,truffle
116186,earth
116186,coffee
116186,leather
114238,honeydew
114238,iodine
114238,grass
114238,citrus
114238,melon
114238,kiwi
111095,apple
111095,pear
111095,kiwi
111095,citrus
111095,stone
111095,grapefruit
111095,melon
118749,currant
118749,blackberry
118749,cherry
118749,cedar
118749,cigar
118749,box
118749,tobacco
118749,broccoli
118749,berry
118749,flower
118749,violet
118749,rose
118749,truffle
118749,earth
118749,coffee
118749,leather
118690,apple
118690,pear
118690,peach
118690,apricot
118690,lemon
118690,lime
118690,orange
118690,pineapple
118690,kiwi
118690,butter
118690,cream
118690,vanilla
114763,spice
114763,box
114763,cedar
114763,dark
114763,fruit
114763,spice
114763,currant
114763,blackberry
114763,boysenberry
114763,blueberry
114763,jam
119567,currant
119567,blackberry
119567,cherry
119567,cedar
119567,cigar
