id,okus
106451,flesh
106451,white
106451,peach
106451,lemon
106451,zest
106451,melon
114334,ripe
114334,cherry
114334,plum
114334,strawberry
114334,raspberry
114334,mushroom
114334,apple
114334,pear
114334,peach
114334,apricot
114334,lemon
114334,lime
114334,orange
114334,pineapple
114334,kiwi
114334,butter
114334,cream
114334,vanilla
114012,grass
114012,gooseberry
114012,grapefruit
114012,lime
114012,melon
114012,citrus
114012,mineral
114012,flint
119137,grass
119137,gooseberry
119137,grapefruit
119137,lime
119137,melon
119137,citrus
119137,mineral
119137,flint
12381,N/A
118320,N/A
113216,tannin
113216,tobacco
113216,dark
113216,fruit
116351,currant
116351,blueberry
116351,blackberry
116351,strawberry
116351,cherry
116351,raspberry
116351,licorice
116351,anise
116351,plum
116351,berry
116351,smoke
116558,apple
116558,pear
116558,peach
116558,apricot
116558,honey
117334,ripe
117334,cherry
117334,plum
117334,strawberry
117334,raspberry
117334,mushroom
114174,cherry
114174,strawberry
114174,raspberry
85439,apple
85439,pear
85439,peach
85439,apricot
85439,honey
117839,orange
117839,almond
117839,floral
117839,acacia
117839,peach
117839,elderflower
117839,grilled
117839,pineapple
118374,jam
118374,blueberry
118374,black
118374,pepper
118374,cherry
118374,plum
118374,boysenberry
118374,cranberry
118374,licorice
117456,currant
117456,blackberry
117456,cherry
117456,bell
117456,pepper
117456,olive
117456,asparagus
117456,spice
117456,ginger
117456,oak
117456,vanilla
118579,apple
118579,pear
118579,peach
118579,apricot
118579,lemon
118579,lime
118579,orange
118579,pineapple
118579,kiwi
118579,butter
118579,cream
118579,vanilla
118289,currant
118289,black
118289,cherry
118289,plum
118289,bell
118289,pepper
118289,olive
118289,oak
118289,smoke
118289,toast
118289,tar
118289,tobacco
118289,raspberry
118289,cassis
118289,violet
118289,pepper
118289,green
118289,bean
112018,gooseberry
112018,peach
112018,lemon
112018,zest
112018,peach
112018,apricot
112018,white
112018,currant
112018,apple
112018,lemon
112018,blueberry
112018,flesh
112018,white
112018,peach
112018,lemon
112018,zest
112018,melon
107232,currant
107232,blackberry
107232,cherry
107232,bell
107232,pepper
107232,olive
107232,asparagus
